
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-28 11:58:47 .......................................................................................... ~ 15s
  2026-05-28 11:59:02 ........................................................................................... ~ 6s
  2026-05-28 11:59:08 /assets/default/vendors/swiper/swiper-bundle.min.css ...................................... ~ 1s
  2026-05-28 11:59:08 ........................................................................................... ~ 2s
  2026-05-28 11:59:08 /assets/default/css/app.css ............................................................... ~ 2s
  2026-05-28 11:59:08 /assets/default/vendors/owl-carousel2/owl.carousel.min.css ................................ ~ 2s
  2026-05-28 11:59:09 /assets/default/vendors/sweetalert2/dist/sweetalert2.min.css .............................. ~ 1s
  2026-05-28 11:59:10 /assets/default/vendors/toast/jquery.toast.min.css ........................................ ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/simplebar/simplebar.css ........................................... ~ 0s
  2026-05-28 11:59:10 /assets/default/js/app.js ................................................................. ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/sweetalert2/dist/sweetalert2.min.css .............................. ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/owl-carousel2/owl.carousel.min.css ................................ ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/swiper/swiper-bundle.min.css ...................................... ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/simplebar/simplebar.css ........................................... ~ 0s
  2026-05-28 11:59:10 /assets/default/vendors/toast/jquery.toast.min.css ........................................ ~ 0s
  2026-05-28 11:59:10 /assets/default/css/app.css ............................................................... ~ 0s
  2026-05-28 11:59:10 /assets/default/js/app.js ................................................................. ~ 0s
  2026-05-28 11:59:10 /assets/default/img/icons/user_menu/settings.svg .......................................... ~ 0s
  2026-05-28 11:59:10 /assets/default/img/icons/user_menu/logout.svg ............................................ ~ 0s
  2026-05-28 11:59:10 /mix-manifest.json?v=4 .................................................................... ~ 0s
  2026-05-28 11:59:10 /store/1/default_images/logo-new.jpg ...................................................... ~ 1s
  2026-05-28 11:59:10 /assets/default/img/icons/user_menu/dashboard.svg ......................................... ~ 1s
  2026-05-28 11:59:10 /assets/default/vendors/feather-icons/dist/feather.min.js ................................. ~ 1s
  2026-05-28 11:59:10 /assets/default/vendors/moment.min.js ..................................................... ~ 1s
  2026-05-28 11:59:10 /assets/default/vendors/sweetalert2/dist/sweetalert2.min.js ............................... ~ 1s
  2026-05-28 11:59:10 /assets/default/vendors/toast/jquery.toast.min.js ......................................... ~ 1s
  2026-05-28 11:59:11 /store/1/fonts/montserrat-regular.woff2 ................................................... ~ 1s
  2026-05-28 11:59:11 /store/1/default_images/categories_icons/sub_categories/layout.png ........................ ~ 1s
  2026-05-28 11:59:11 /store/1/default_images/categories_icons/pie-chart.png .................................... ~ 1s
  2026-05-28 11:59:11 /store/1/default_images/categories_icons/sub_categories/share-2.png ....................... ~ 1s
  2026-05-28 11:59:11 /store/1/default_images/categories_icons/sub_categories/users.png ......................... ~ 1s
  2026-05-28 11:59:11 /assets/default/img/home/world.png ........................................................ ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/umbrella.png ..................................... ~ 0s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/target.png ........................ ~ 0s
  2026-05-28 11:59:12 /store/1/favicon.png ...................................................................... ~ 0s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/code.png ......................................... ~ 0s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/heart.png ........................................ ~ 0s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/briefcase.png .................................... ~ 0s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/anchor.png ....................................... ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/sun.png ........................... ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/droplet.png ....................... ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/divide-square.png ................. ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/zap.png ........................... ~ 1s
  2026-05-28 11:59:12 /store/1/default_images/categories_icons/sub_categories/smartphone.png .................... ~ 1s
  2026-05-28 11:59:13 /store/1/default_images/categories_icons/sub_categories/codesandbox.png ................... ~ 0s
  2026-05-28 11:59:13 /logo/logo.png ............................................................................ ~ 0s
  2026-05-28 11:59:13 /store/1/default_images/categories_icons/feather.png ...................................... ~ 0s
  2026-05-28 11:59:13 /store/1/default_images/categories_icons/sub_categories/globe.png ......................... ~ 0s
  2026-05-28 11:59:13 /store/1/sidebar-user-ar.png .............................................................. ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/simplebar/simplebar.min.js ........................................ ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/lottie/lottie-player.js ........................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/swiper/swiper-bundle.min.js ....................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/owl-carousel2/owl.carousel.min.js ................................. ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/parallax/parallax.min.js .......................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/js/parts/home.min.js ...................................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/flagstrap/css/flags.css ........................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/vendors/flagstrap/js/jquery.flagstrap.min.js .............................. ~ 0s
  2026-05-28 11:59:13 /assets/default/js/parts/top_nav_flags.min.js ............................................. ~ 0s
  2026-05-28 11:59:13 /assets/default/js/parts/navbar.min.js .................................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/js/parts/main.min.js ...................................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/img/stats/teacher.svg ..................................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/img/stats/student.svg ..................................................... ~ 0s
  2026-05-28 11:59:13 /assets/default/img/stats/video.svg ....................................................... ~ 0s
  2026-05-28 11:59:13 ........................................................................................... ~ 2s
  2026-05-28 11:59:13 ........................................................................................... ~ 8s
  2026-05-28 11:59:13 /assets/default/img/stats/course.svg ...................................................... ~ 8s
  2026-05-28 11:59:15 ........................................................................................... ~ 8s
  2026-05-28 11:59:13 /store/1/animated-header.json ............................................................ ~ 10s
  2026-05-28 11:59:13 /store/1015/avatar/617a4f2fb8a6d.png ..................................................... ~ 10s
  2026-05-28 11:59:23 ........................................................................................... ~ 2s
  2026-05-28 11:59:23 ........................................................................................... ~ 4s
  2026-05-28 11:59:21 /assets/default/vendors/flagstrap/css/flags.png ........................................... ~ 6s
  2026-05-28 11:59:23 /store/1/favicon_bkp.png .................................................................. ~ 4s
  2026-05-28 11:59:27 ........................................................................................... ~ 1s
  2026-05-28 11:59:25 /store/1/dashboard.png .................................................................... ~ 3s
  2026-05-28 11:59:27 /store/1015/office_bundle.jpg ............................................................. ~ 1s
  2026-05-28 11:59:28 /store/929/Solar%20Energy%20Design%20Course%20From%20Zero%20To%20Hero.jpg ................. ~ 0s
  2026-05-28 11:59:28 /store/929/avatar/617a4f5d834c8.png ....................................................... ~ 0s
  2026-05-28 11:59:28 /store/934/A-Z%20Web%20Programming.jpg .................................................... ~ 0s
  2026-05-28 11:59:28 /store/934/avatar/617a4f418be6b.png ....................................................... ~ 0s
  2026-05-28 11:59:28 /store/934/Web%20Design%20for%20Beginners.jpg ............................................. ~ 0s
  2026-05-28 11:59:28 /store/1016/Digital%20Photography%20for%20Beginners.jpg ................................... ~ 0s
  2026-05-28 11:59:28 /store/1016/avatar/617a4f17c8e72.png ...................................................... ~ 0s
  2026-05-28 11:59:28 /store/1015/Python%20for%20Beginners.jpg .................................................. ~ 0s
  2026-05-28 11:59:28 /store/867/Effective%20Time%20Management.jpg .............................................. ~ 0s
  2026-05-28 11:59:28 /store/923/avatar/617a4f9983fe5.png ....................................................... ~ 1s
  2026-05-28 11:59:28 /store/863/Health%20And%20Fitness%20Masterclass%20Beginner%20To%20Advanced.jpg ............ ~ 1s
  2026-05-28 11:59:28 /store/870/avatar/617a4f7c09d61.png ....................................................... ~ 1s
  2026-05-28 11:59:28 /store/1015/hero%20(6).jpg ................................................................ ~ 1s
  2026-05-28 11:59:28 /store/934/Python%20for%20Beginners.jpg ................................................... ~ 1s
  2026-05-28 11:59:28 /store/1016/1.jpg ......................................................................... ~ 1s
  2026-05-28 11:59:29 /store/929/How%20to%20Manage%20&%20Influence%20Your%20Virtual%20Team.jpg .................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/briefcase.png .............................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/bulb.png ................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/family.png ................................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/muscle.png ................................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/connection.png ............................. ~ 0s
  2026-05-28 11:59:29 /store/1015/Excel%20from%20Beginner%20to%20Advanced.jpg ................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/trend_categories_icons/palette.png ................................ ~ 0s
  2026-05-28 11:59:29 /store/929/update_1.6.jpg ................................................................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/banners/become_instructor_banner.png .............................. ~ 0s
  2026-05-28 11:59:29 /store/3/Learn%20and%20Understand%20AngularJS.jpg ......................................... ~ 0s
  2026-05-28 11:59:29 /store/3/avatar/617a4fad7845b.png ......................................................... ~ 0s
  2026-05-28 11:59:29 /store/929/The%20Future%20of%20Energy.jpg ................................................. ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/Where%20the%20Crawdads%20Sing%20e-book.jpg ........................ ~ 0s
  2026-05-28 11:59:29 /store/1015/store%20product/paint_brushes.jpg ............................................. ~ 0s
  2026-05-28 11:59:29 /store/934/store_product/microscope_4.jpg ................................................. ~ 0s
  2026-05-28 11:59:29 /store/1015/store%20product/business_software_1.jpg ....................................... ~ 0s
  2026-05-28 11:59:29 /store/1016/store_product/sherlock_holmes_ebook.jpg ....................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/subscribe_packages/bronze.png ..................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/subscribe_packages/gold.png ....................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/subscribe_packages/silver.png ..................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/home_sections_banners/become_instructor_banner.jpg ................ ~ 0s
  2026-05-28 11:59:29 /assets/default/img/home/circle-4.png ..................................................... ~ 0s
  2026-05-28 11:59:29 /assets/default/img/home/dot.png .......................................................... ~ 0s
  2026-05-28 11:59:29 /assets/default/img/home/become_instructor.svg ............................................ ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/forums/forum_section.jpg .......................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/home_sections_banners/instructor_finder_banner.jpg ................ ~ 0s
  2026-05-28 11:59:29 /assets/default/img/home/toutor_finder.svg ................................................ ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/home_sections_banners/club_points_banner.png ...................... ~ 0s
  2026-05-28 11:59:29 /assets/default/img/rewards/medal.png ..................................................... ~ 0s
  2026-05-28 11:59:29 /store/930/avatar/617a4ee75dd14.png ....................................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/banners/validate_certificates_banner.png .......................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/banners/reserve_a_meeting.png ..................................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/testimonials/profile_picture%20(28).jpg ........................... ~ 0s
  2026-05-28 11:59:29 /store/1/default_images/testimonials/profile_picture%20(50).jpg ........................... ~ 1s
  2026-05-28 11:59:29 /store/1/default_images/testimonials/profile_picture%20(38).jpg ........................... ~ 1s
  2026-05-28 11:59:29 /store/1/default_images/testimonials/profile_picture%20(20).jpg ........................... ~ 1s
  2026-05-28 11:59:29 /store/1/default_images/testimonials/profile_picture%20(52).jpg ........................... ~ 1s
  2026-05-28 11:59:30 ........................................................................................... ~ 7s
  2026-05-28 11:59:29 /store/867/avatar/617a502cf268a.png ....................................................... ~ 8s
  2026-05-28 11:59:30 .......................................................................................... ~ 10s
  2026-05-28 11:59:30 /store/4/avatar/617a50568d8a8.png ........................................................ ~ 10s
  2026-05-28 11:59:37 ........................................................................................... ~ 4s
  2026-05-28 11:59:30 /store/863/avatar/617a5000eb040.png ...................................................... ~ 11s
  2026-05-28 11:59:40 ........................................................................................... ~ 3s
  2026-05-28 11:59:41 /store/1014/blog3.jpg ..................................................................... ~ 2s
  2026-05-28 11:59:43 /store/1/default_images/blogs/blog1.jpg ................................................... ~ 0s
  2026-05-28 11:59:43 /store/1/default_images/envato.png ........................................................ ~ 0s
  2026-05-28 11:59:43 /store/1/Logo.jpg ......................................................................... ~ 0s
  2026-05-28 11:59:43 /store/1/default_images/social/instagram.svg .............................................. ~ 0s
  2026-05-28 11:59:43 /store/1/default_images/social/whatsapp.svg ............................................... ~ 0s
  2026-05-28 11:59:43 /store/1/default_images/social/twitter.svg ................................................ ~ 0s
  2026-05-28 11:59:43 /store/1/default_images/social/facebook.svg ............................................... ~ 1s
  2026-05-28 11:59:43 /store/1015/The%20Professional%20Guitar%20Masterclass.jpg ................................. ~ 1s
  2026-05-28 11:59:43 /store/1/default_images/home_video_section.png ............................................ ~ 1s
  2026-05-28 11:59:43 /assets/default/img/footer/pattern.png .................................................... ~ 1s
  2026-05-28 11:59:44 /store/1/favicon.png ...................................................................... ~ 0s
  2026-05-28 11:59:44 /store/1/favicon.png ...................................................................... ~ 0s
  2026-05-28 12:01:09 ........................................................................................... ~ 5s
  2026-05-28 12:01:09 /assets/default/vendors/sweetalert2/dist/sweetalert2.min.css .............................. ~ 5s
  2026-05-28 12:01:14 /assets/default/vendors/toast/jquery.toast.min.css ........................................ ~ 0s
  2026-05-28 12:01:14 /assets/default/vendors/simplebar/simplebar.css ........................................... ~ 0s
  2026-05-28 12:01:14 /assets/default/css/app.css ............................................................... ~ 0s
  2026-05-28 12:01:14 /assets/default/vendors/swiper/swiper-bundle.min.css ...................................... ~ 0s
  2026-05-28 12:01:14 /assets/default/vendors/owl-carousel2/owl.carousel.min.css ................................ ~ 0s
  2026-05-28 12:01:15 /logo/logo.png ............................................................................ ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/code.png ......................................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/layout.png ........................ ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/smartphone.png .................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/codesandbox.png ................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/moment.min.js ..................................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/feather-icons/dist/feather.min.js ................................. ~ 0s
  2026-05-28 12:01:15 /assets/default/js/app.js ................................................................. ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/sweetalert2/dist/sweetalert2.min.js ............................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/toast/jquery.toast.min.js ......................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/simplebar/simplebar.min.js ........................................ ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/lottie/lottie-player.js ........................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/swiper/swiper-bundle.min.js ....................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/owl-carousel2/owl.carousel.min.js ................................. ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/parallax/parallax.min.js .......................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/js/parts/home.min.js ...................................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/flagstrap/css/flags.css ........................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/vendors/flagstrap/js/jquery.flagstrap.min.js .............................. ~ 0s
  2026-05-28 12:01:15 /assets/default/js/parts/top_nav_flags.min.js ............................................. ~ 0s
  2026-05-28 12:01:15 /assets/default/js/parts/navbar.min.js .................................................... ~ 0s
  2026-05-28 12:01:15 /assets/default/js/parts/main.min.js ...................................................... ~ 0s
  2026-05-28 12:01:15 /mix-manifest.json?v=4 .................................................................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/anchor.png ....................................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/users.png ......................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/share-2.png ....................... ~ 0s
  2026-05-28 12:01:15 /store/1/default_images/categories_icons/sub_categories/target.png ........................ ~ 0s
